Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,First Tab Description (product.metafields.custom.first_tab_description),First Tab Title (product.metafields.custom.first_tittle_one),Fourth Tab Description (product.metafields.custom.fourth_tab_description),Fourth Tab Title (product.metafields.custom.fourth_tab_title),Second Tab Description (product.metafields.custom.second_tab_description),Second Tab Descriptions (product.metafields.custom.second_tab_descriptions),Second Tab Title (product.metafields.custom.second_tab_title),Third Tab Description (product.metafields.custom.third_tab_description),Third Tab Title (product.metafields.custom.third_tab_title),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),contact (product.metafields.my_fields.contact),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Standard Shipping (product.metafields.standard_fields.shipping),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / united,Price / united,Compare At Price / united,Status
2210,Ocean Eyes,"",Papa Don't Preach by Shubhika,Uncategorized,Indian Bridal,"allwomen, kaftan, lon25, mto, newarrival, thedollhouse",true,Size,XXS,,,,,,,,2210-XXS,5000.0,shopify,100,continue,manual,49500.00,,true,true,,https://cdn.shopify.com/s/files/1/0895/7760/files/Blue_kaftan_front_7c564055-9688-4389-afed-7bffce137a8f.jpg?v=1742216500,1,"",false,,,,,,,,,,,,,,"A plain solid-color V-neck kaftan with intricate embroidery on the sleeves, paired with a soft shantoon slip for a refined and comfortable look. <br> <br>

Color:Blue <br>
Product code:2210 <br>
No of pcs:2 <br>",Product Information,"<p>""Please note that RTS products may have minor defects.
 No exchanges or refunds are available on any product.""<br>Manufacture and marketed by: &nbsp;WW Papa Don't Preach, &nbsp;104, S.J. House, Sitaram Mill Compound, Lower Parel East, Mumbai, Maharashtra 400012<br>Country of Origin: India</p>",Additional Information,,"The processing time is 3-4 weeks from the date of placing the order. <br>
  
 

  
 

  
  
  
 

  
 

  Sale items may take up to 10 days for dispatch. <br> For any Queries or Assistance 
  
 

  
 

  Call or Whatsapp - 9967996897. <br>
  
 

  
 

  Email us at digitalsales@papadontpreach.com",Delivery Timelines,"Each garment from Papa Dont Preach carries the soul of our ancient Indian crafts — hand-dyed, hand-embroidered, and masterfully created by third generation karigars. No two hands are the same, and neither are the pieces they bring to life. The garment you now hold or see is a singular creation, born from a process so unique that it can never be replicated.
 <br />
 

 Every subtle variation in color, motif, texture, or detail is a testament to its unique journey demands to be celebrated
 <br/>
 

 By owning this piece, you now own an irreplaceable treasure, never will another exist quite like this one. Thank you for embracing the beauty of imperfection and the power of individuality and for supporting the Indian crafts story.
 <br/>",Disclaimer,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
2210,,,,,,,,,XS,,,,,,,,2210-XS,5000.0,shopify,100,continue,manual,49500.00,,true,true,,https://cdn.shopify.com/s/files/1/0895/7760/files/Blue_kaftan_side_1984d9bc-64bc-43a6-8dd7-b6eac3fc34c9.jpg?v=1742216500,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,S,,,,,,,,2210-S,5000.0,shopify,100,continue,manual,49500.00,,true,true,,https://cdn.shopify.com/s/files/1/0895/7760/files/Bluekaftancloseup.jpg?v=1742216500,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,M,,,,,,,,2210-M,5000.0,shopify,100,continue,manual,49500.00,,true,true,,https://cdn.shopify.com/s/files/1/0895/7760/files/Blue_kaftan_back_f4823f4e-5ebf-4444-97bc-95d61edf10dc.jpg?v=1742216500,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,L,,,,,,,,2210-L,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,XL,,,,,,,,2210-XL,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,2XL,,,,,,,,2210-2XL,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,3XL,,,,,,,,2210-3XL,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,4XL,,,,,,,,2210-4XL,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
2210,,,,,,,,,5XL,,,,,,,,2210-5XL,5000.0,shopify,100,continue,manual,49500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
